id;ssic;name
99;13929;Manufacture of made-up textile articles except apparel n.e.c. (e.g. scrolls, flags and sails, banners, canvas products, cushions, pillows)
100;13930;Manufacture of carpets and rugs
101;13940;Manufacture of cordage, rope, twine and netting
102;13990;Manufacture of other textiles n.e.c. (e.g. upholstery filling)
103;14101;Manufacture of outer garments
104;14102;Manufacture of brassieres and other undergarments
105;14103;Tailoring and dressmaking (to individual order)
106;14109;Manufacture of wearing apparel except fur apparel n.e.c. (e.g. songkoks, caps, gloves and mittens, garters, handkerchiefs, raincoats, shawls and hair nets)
107;14200;Manufacture of fur apparel and articles of fur (e.g. fur rugs, mats and cushions)
108;14301;Manufacture of socks, stockings and other hosiery
109;14302;Manufacture of briefs, singlets and other knitted or crocheted wear (e.g. pullovers, cardigans)
110;14309;Manufacture of knitted and crocheted apparel n.e.c.
111;15110;Tanning and dressing of leather; dressing and dyeing of fur
112;15121;Manufacture of luggage, bags, brief cases and the like
113;15122;Manufacture of handbags
114;15129;Manufacture of saddlery, harness and articles of leather n.e.c. (e.g. coin purses, key cases)
115;15200;Manufacture of footwear
116;16101;Sawmilling
117;16102;Preservation of wood
118;16109;Sawmilling and planing of wood n.e.c.
119;16211;Manufacture of plywood and veneer sheets
120;16219;Manufacture of laminboard, particle board and other panels and boards n.e.c.
121;16221;Manufacture of prefabricated wooden building structures (including parquet flooring)
122;16222;Manufacture of moulded wooden products
123;16229;Manufacture of builders' carpentry and joinery n.e.c.
124;16230;Manufacture of wooden containers
125;16291;Manufacture of coffins
126;16292;Manufacture of household and kitchen wooden ware except wooden footwear
127;16293;Manufacture of attap and attap products
128;16294;Rattan processing
129;16299;Manufacture of other products of wood and articles of cork, straw and plaiting materials n.e.c.
130;17010;Manufacture of pulp, paper and paperboard
131;17021;Manufacture of corrugated paper and paperboard
132;17022;Manufacture of containers and boxes of paper and paperboard
133;17091;Manufacture of joss paper and other related ceremonial paper products (including effigies and other funeral paper goods and Chinese lanterns)
134;17092;Manufacture of sanitary towels, toilet paper, paper towels, disposable diapers and related paper products
135;17093;Manufacture of paper cups, plates and utensils
136;17094;Manufacture of cards, envelopes and stationery, unprinted
137;17099;Manufacture of other articles of paper and paperboard n.e.c. (e.g. papier mache, wallpaper)
138;18111;Printing of newspapers
139;18112;Printing of periodicals, books and magazines
140;18113;Commercial printing (e.g. printing of brochures, cards, envelopes, labels and stationery)
141;18114;Printing of continuous and fan-fold forms
142;18115;Silk screen printing (including metal printing)
143;18119;Printing n.e.c.
144;18121;Bookbinding (e.g. book packaging)
145;18122;Typesetting
146;18123;Colour separation
147;18129;Service activities related to printing n.e.c. (including plate-making)
148;18200;Reproduction of recorded media (including reproduction of phonograph records, recorded magnetic tapes, compact discs and non-customised software)
149;19100;Manufacture of coke oven products
150;19201;Petroleum refineries
151;19202;Manufacture of petroleum lubricating oil
152;19209;Manufacture of refined petroleum products n.e.c.
153;20111;Manufacture of industrial gases and dry ice
154;20112;Manufacture of basic industrial acids and alkalis
155;20113;Manufacture of basic chemicals except fertilisers and nitrogen
156;20114;Manufacture of solvents
157;20119;Manufacture of basic chemicals n.e.c.
158;20120;Manufacture of fertilisers and nitrogen compounds
159;20131;Manufacture of petrochemical primary products (e.g. olefins, aromatics, basic building blocks)
160;20132;Manufacture of derivatives and intermediates produced from basic building blocks (e.g. acetyls, acrylics, oxochemicals, styrenirs, phenolics, ethylene oxide derivatives and polymers)
161;20133;Manufacture of synthetic rubber
162;20210;Manufacture of pesticides and other agro-chemical products (including insecticides, herbicides and disinfectants)
163;20221;Manufacture of paints
164;20222;Manufacture of varnishes and lacquers (including enamels)
165;20229;Manufacture of paints, varnishes and similar coatings and mastics n.e.c.
166;20231;Manufacture of soap, detergents, washing and other cleaning preparations
167;20232;Manufacture of perfumes and fragrances
168;20233;Manufacture of cosmetics and toiletries
169;20234;Manufacture of waxes and polishes and deodorising preparations
170;20241;Manufacture of food chemicals and additives (e.g. flavours, preservatives and colourings)
171;20242;Manufacture of additives for mineral oil (e.g. lubricant and fuel additives)
172;20249;Manufacture of additives n.e.c.
173;20291;Manufacture of epoxy moulding compounds and phenolic moulding compounds
174;20292;Manufacture of ultrapure electronic chemicals, materials and laminates
175;20293;Manufacture of water treatment, waste treatment and oilfield chemicals
176;20294;Manufacture of inks, dyestuffs, pigments and carbon black
177;20295;Manufacture of photographic film, paper, plate and chemicals
178;20296;Manufacture of adhesives and sealants
179;20297;Manufacture of catalysts and catalyst regeneration
180;20298;Manufacture of biofuels
181;20299;Manufacture of other chemical products n.e.c. (e.g. gelatin and derivatives, laundry blue, explosives, processed salts, industrial starch, incense and joss sticks, camphor products)
182;20300;Manufacture of man-made fibres except glass
183;21011;Manufacture of pharmaceutical intermediates and fine chemicals for human use
184;21012;Manufacture of pharmaceutical products and preparations for human use (e.g. tableted products)
185;21013;Manufacture of pharmaceutical intermediates and fine chemicals for veterinary use
186;21014;Manufacture of pharmaceutical products and preparations for veterinary use
187;21021;Manufacture of vaccines for human use
188;21022;Manufacture of other biological products and preparations for human use
189;21023;Manufacture of biological products and preparations for veterinary use
190;21030;Manufacture of traditional chinese medicine
191;22111;Processing of rubber (including processing of rubber latex)
192;22112;Grading and packing of rubber
193;22119;Processing of natural gums n.e.c. (e.g. gum damar, jelutong)
194;22121;Manufacture of tyres and tubes
195;22122;Retreading and vulcanising of tyres
196;22191;Manufacture of foam rubber products (excluding foam rubber mattresses)
197;22192;Manufacture of rubber automotive parts
198;22193;Manufacture of industrial and mechanical rubber goods
199;22194;Manufacture of rubber floorings
200;22199;Manufacture of other rubber products n.e.c. (except rubber footwear and toys)
201;22211;Manufacture of plastic tableware, household and kitchen ware (excluding disposable utensils)
202;22212;Manufacture of styrofoam and plastic disposable utensils
203;22213;Manufacture of plastic sheet, film and articles thereof (e.g. polythene and polypropylene bags)
204;22214;Manufacture of plastic bottles, boxes and containers (except for household use)
205;22215;Manufacture of plastic pipes and tubes
206;22216;Manufacture of plastic precision engineering parts
207;22217;Manufacture of PVC files, holders and albums
208;22218;Manufacture of plastic cable ties
209;22219;Manufacture of plastic products n.e.c. (except plastic footwear and toys)
210;22220;Plastic product services
211;23100;Manufacture of glass and glass products (including yarn of glass fibres)
212;23911;Manufacture of bricks
213;23912;Manufacture of tiles, pipes and channels (including clay roofing, wall and floor tiles, and earthen and glazed pipes)
214;23919;Manufacture of clay products n.e.c.
215;23931;Manufacture of plumbing fixtures and fittings of vitreous china, china and earthenware (e.g. sinks, closets, bowls)
216;23939;Manufacture of other porcelain and ceramic products n.e.c.
217;23940;Manufacture of cement, lime and plaster
218;23951;Manufacture of ready-mix concrete
219;23959;Manufacture of articles of concrete, cement and plaster n.e.c. (except precast concrete components)
220;23960;Cutting, shaping and finishing of stone (including tomb-stones and furniture of stone or marble)
221;23991;Manufacture of asbestos products except asbestos paper
222;23992;Manufacture of fibreglass and fibreglass products
223;23993;Manufacture of other insulation products (e.g. ceramic IC packages, refractory materials, rockwool products, insulation services)
224;23994;Manufacture of non-structural pre-cast components (e.g. lightweight partitions, secondary roof slabs)
225;23995;Manufacture of asphalt premix
226;23999;Manufacture of other non-metallic mineral products n.e.c. (e.g. graphite products)
227;24101;Iron and steel rolling mills
228;24102;Manufacture of ferrous metal alloys
229;24109;Manufacture of basic iron and steel n.e.c. (including smelting)
230;24201;Tin smelting
231;24202;Manufacture of non-ferrous metal alloys
232;24209;Manufacture of basic precious and non-ferrous metals n.e.c.
233;24310;Iron and steel foundries
234;24320;Non-ferrous metal foundries
235;25111;Manufacture of metal doors, window and door frames, grilles and gratings
236;25112;Manufacture of metal strips and slabs (e.g. awnings)
237;25113;Manufacture of pipes and tubes
238;25114;Manufacture of steel structural component
239;25119;Manufacture of structural metal products n.e.c. (e.g. metal sections, corrugated sheets)
240;25120;Manufacture and repair of tanks, reservoirs and containers of metal (e.g. metal cylinders, storage vessels and containers for compressed or liquefied gas)
241;25131;Manufacture and repair of heating boilers, radiators and correctors (including parts)
242;25139;Manufacture and repair of steam generators n.e.c. (except central heating hot water boilers)
243;25200;Manufacture and repair of weapons and ammunition (e.g. ordnance and accessories)
244;25911;Iron and steel and non-ferrous forgings
245;25912;Manufacture of metal caps (e.g. crown corks)
246;25913;Manufacture of leadframe
247;25914;Metal stampings except metal caps
248;25915;Die-casting
249;25919;Pressing and roll-forming of metal and powder metallurgy n.e.c.
250;25921;Electroplating and plating of metals and formed products
251;25922;Polishing of metals and formed products
252;25923;Rustproofing of metals and formed products
253;25924;Heat treatment for metals
254;25929;Metal product services n.e.c.
255;25931;Manufacture of table, kitchen and other cutlery
256;25932;Manufacture of hand and edge tools
257;25939;Manufacture of general hardware (including blacksmith shops) n.e.c. (e.g. locks and keys, hinges, clamps, hooks)
258;25941;Manufacture of uninsulated wire (e.g. electronic component wire, bonding wire)
259;25949;Manufacture of metal wire and cable products n.e.c.
260;25951;Manufacture of tinplate cans
261;25952;Manufacture of other tinplate and zinc articles (e.g. pails, buckets, dustbins)
262;25959;Manufacture of metal cans, containers and related products n.e.c. (e.g. barrels, steel drums, kegs)
263;25991;Manufacture of sanitary ware of enamelled iron and metal and plumbers' ware of brass
264;25992;Manufacture of plumbing, heating and related products (including parts) except electric
265;25993;Manufacture of bolts, nuts, rivets, fasteners and screw machine products
266;25994;Manufacture of pipe fittings
267;25995;Manufacture of springs
268;25996;Manufacture of kitchen and household utensils (e.g. steel shelf, showcase counters, kitchen trolleys display racks, sink bowls and other customised kitchen equipment)
269;25997;Manufacture of metal precision components
270;25998;Slitting, shearing and pasting of metal sheeting
271;25999;Manufacture of other fabricated metal products n.e.c. (including voice coil magnets)
272;26111;Manufacture of discrete devices (e.g. diodes, light-emitting diodes, transistors and rectifiers)
273;26112;Semiconductor wafer fabrication
274;26113;Assembly and testing of semiconductors
275;26114;Manufacture of solar wafers
276;26115;Manufacture of solar cells
277;26119;Manufacture of semiconductor devices n.e.c.
278;26121;Manufacture of capacitors
279;26122;Manufacture of resistors
280;26123;Manufacture of printed circuit boards without electronic parts
281;26124;Manufacture of printed circuit boards with electronic parts
282;26125;Manufacture of piezo-electric devices (e.g. quartz crystals, quartz crystal filters, delay lines)
283;26126;Manufacture of electronic display devices except light emitting diodes
284;26127;Manufacture of electronic connectors
285;26129;Manufacture of other electronic components and boards n.e.c.
286;26201;Manufacture of computers and data processing equipment except computer peripheral equipment
287;26202;Manufacture of disk drives (including CD-ROM drives, DVD-ROM drives, optical drives, flash drives, tape drives, solid state drives, storage subsystems)
288;26203;Manufacture of printers
289;26204;Manufacture of smart cards and related products (e.g. smart card readers)
290;26209;Manufacture of computers and peripheral equipment n.e.c.
291;26301;Manufacture of telecommunications apparatus (e.g. PBX equipment, telephones except cellular)
292;26302;Manufacture of networking products (e.g. routers, switches)
293;26303;Manufacture of wireless communications equipment (e.g. cellular phones)
294;26304;Manufacture of electronic security systems (including electronic sensors, burglar and fire alarm systems)
295;26309;Manufacture of communications equipment n.e.c.
296;26400;Manufacture of consumer electronics
297;26511;Manufacture and repair of engineering and scientific instruments
298;26512;Manufacture and repair of measuring devices (e.g. meters)
299;26513;Manufacture and repair of process control equipment and related products
300;26521;Manufacture of fully electronic watches and clocks
301;26522;Manufacture of electro-mechanical watches and clocks (e.g. watches and clocks with moving parts and battery)
302;26523;Manufacture of mechanical watches and clocks
303;26524;Manufacture of parts and accessories for watches and clocks
304;26601;Manufacture and repair of electrotherapeutic devices
305;26602;Manufacture and repair of irradiation and electromedical equipment and instruments
306;26701;Manufacture of photographic equipment and parts (including lenses)
307;26709;Manufacture of optical instruments and photographic equipment n.e.c.
308;26801;Manufacture of disk media
309;26802;Manufacture of blank magnetic tapes, diskettes, Blu-ray technology discs, CDs, DVDs and VCDs
310;27101;Manufacture and repair of electric motors
311;27102;Manufacture and repair of electric generators
312;27103;Manufacture and repair of transformers
313;27104;Manufacture and repair of switchgear and switchboard apparatus (including switches, circuit breakers and electrical control panels)
314;27109;Manufacture and repair of electric motors, generators, transformers and electricity distribution and control apparatus n.e.c. (e.g. busbar trunking)
315;27201;Manufacture of primary batteries
316;27202;Manufacture of secondary batteries
317;27321;Manufacture of telecommunications cables and wires
318;27322;Manufacture of electric power cables and wires
319;27323;Manufacture of enamelled wires (used for winding of motors, transformers etc)
320;27324;Manufacture of wire and cable assemblies and harnesses
321;27329;Manufacture of other electronic and electric wires and cables n.e.c.
322;27330;Manufacture and repair of wiring devices
323;27400;Manufacture and repair of electric lamps and lighting equipment (including silver reflectors, fittings and parts)
324;27501;Manufacture of electrical household appliances (e.g. refrigerators, hot plates, toasters, food mixers, cookers, hair dryers, fans, shavers)
325;27509;Manufacture of domestic appliances n.e.c. (e.g. non-electric cooking ranges, grates, stoves)
326;27901;Manufacture of fuel cells
327;27902;Manufacture of electrical machinery, apparatus, appliances and supplies (including sound or visual signalling apparatus, electrical insulators except porcelain or glass)
328;28111;Manufacture and repair of engines and turbines except aircraft, vehicle, cycle and marine engines
329;28112;Manufacture and repair of marine engine
330;28121;Manufacture and repair of pumps (e.g. hydraulic pumps, drainage pumps)
331;28122;Manufacture and repair of taps, cocks and valves
332;28129;Manufacture and repair of pumps, compressors, taps and valves n.e.c.
333;28141;Manufacture of bearings (including disc and ball bearings)
334;28142;Manufacture and repair of gears, gearing and driving elements
335;28150;Manufacture and repair of ovens, furnaces and furnace burners
336;28161;Manufacture and repair of lifting and hoisting machinery except electrical
337;28162;Manufacture and repair of lifts and escalators
338;28169;Manufacture and repair of lifting and handling equipment n.e.c. (including conveying systems and industrial automated systems)
339;28171;Manufacture of office machinery and equipment (except computers and peripheral equipment)
340;28172;Repair and maintenance of office machinery and equipment
341;28181;Manufacture and repair of industrial robots (including Automated Guided Vehicles (AGVs))
342;28182;Manufacture and repair of service robots
343;28189;Manufacture and repair of robots n.e.c.
344;28191;Manufacture and repair of refrigerating, air-conditioning and ventilating machinery and equipment except household refrigerators
345;28192;Manufacture and repair of laser equipment
346;28193;Manufacture and repair of separation/mixing equipment (e.g. filters, separators, mixers)
347;28194;Manufacture and repair of solar modules and panels
348;28195;Manufacture and repair of welding and soldering equipment (including arc welding electrodes)
349;28196;Manufacture and repair of packaging machinery
350;28199;Manufacture and repair of other general purpose machinery and equipment except electrical and electronic n.e.c.
351;28210;Manufacture and repair of agricultural and forestry machinery
352;28221;Manufacture and repair of machinery and machine-tools - metal cutting types (e.g. lathes, milling machines, shaping machines)
353;28222;Manufacture and repair of machinery and machine-tools - metal forming types (e.g. forging press, cold heading machines, press breaks)
354;28223;Manufacture of dies, moulds, tools, jigs and fixtures
355;28224;Manufacture of machine tool accessories (e.g. small cutting tools, precision measuring tools and other attachments such as tool holders)
356;28225;Manufacture and repair of metal additive manufacturing (AM) equipment (including metal powder)
357;28229;Manufacture and repair of metal-forming machinery and machine tools n.e.c. (including metalworking machinery)
358;28241;Manufacture and repair of oil rigs
359;28242;Manufacture and repair of other oilfield and gasfield machinery and equipment (e.g. derricks, tool joints)
360;28243;Manufacture and repair of construction machinery and parts
361;28249;Manufacture and repair of machinery for mining, quarrying and construction n.e.c.
362;28251;Manufacture and repair of machinery for food products processing
363;28252;Manufacture and repair of machinery for beverage production
364;28253;Manufacture and repair of machinery for tobacco processing
365;28260;Manufacture and repair of machinery for textile, apparel and leather production
366;28271;Manufacture of probe cards
367;28272;Manufacture of bonding tools
368;28273;Manufacture and repair of semiconductor assembly and testing equipment (including computer burn-in system)
369;28274;Manufacture and repair of semiconductor foundry equipment
370;28291;Manufacture and repair of water/waste water treatment equipment
371;28292;Manufacture and repair of plastic processing machinery
372;28293;Manufacture and repair of woodworking machinery
373;28294;Manufacture and repair of polymer additive manufacturing (AM) equipment
374;28299;Manufacture and repair of other special purpose machinery n.e.c. (including plating equipment, industrial paint mixers and chemical mixing equipment)
375;28300;Installation of industrial machinery and equipment, mechanical engineering works
376;29100;Manufacture and assembly of motor vehicles
377;29200;Manufacture of motor vehicle bodies (coachwork), trailers and semi-trailers
378;29300;Manufacture of parts and accessories for motor vehicles (e.g. engine parts, brakes, clutches, axles, gear boxes)
379;30110;Building and repairing of ships, tankers and other ocean-going vessels (including conversion of ships into off-shore structures)
380;30120;Building and repair of pleasure crafts, lighters and boats
381;30200;Manufacture and repair of railway and tramway locomotives and rolling stock (including specialised parts except engines, electric motors and signalling equipment)
382;30301;Manufacture and assembly of aircraft and spacecraft (including aircraft engines and other parts)
383;30302;Repair and servicing of aircraft and spacecraft (including aircraft engines and other parts)
384;30400;Manufacture of military fighting vehicles
385;30910;Manufacture and assembly of motorcycles and scooters (including engines and other parts and accessories)
386;30920;Manufacture and assembly of bicycles, tricycles, trishaws and invalid carriages (including parts and accessories)
387;30990;Manufacture of other transport equipment n.e.c. (e.g. carts, wagons)
388;31001;Manufacture of furniture and fixtures of wood (including upholstery)
389;31002;Manufacture of furniture of rattan and cane
390;31003;Manufacture of furniture and fixtures primarily of metal
391;31004;Manufacture of furniture of other materials except primarily of stone, ceramic or concrete
392;31005;Manufacture of window and door screens and shades
393;31006;Manufacture of mattresses including those of foam rubber
394;31009;Manufacture of furniture n.e.c.
395;32111;Manufacture of jewellery except costume jewellery
396;32112;Manufacture of pewter ware
397;32119;Manufacture of jewellery and related articles n.e.c. (except costume jewellery)
398;32120;Manufacture of costume jewellery and related articles
399;32200;Manufacture of musical instruments
400;32300;Manufacture of sporting and athletic goods (including gym, diving and underwater equipment)
401;32400;Manufacture of games and toys
402;32501;Manufacture of medical research and clinical diagnostic instruments and supplies (e.g. reagents)
403;32502;Manufacture of medical disposables and surgical supplies (e.g. test kits, syringes, tubes, fluid administration sets)
404;32503;Manufacture of implantables and artificial limbs (e.g. heart valves, stents, orthopaedic implants)
405;32504;Manufacture of ophthalmic goods (e.g. spectacles, contact lenses and parts)
406;32509;Manufacture of medical and dental tools, instruments and supplies n.e.c.
407;32901;Manufacture of matches
408;32902;Manufacture of umbrellas
409;32903;Manufacture of pens, pencils, stencils and other office materials
410;32904;Manufacture of wigs and related articles
411;32905;Manufacture of identification plates, badges, emblems and tags
412;32906;Manufacture of signs and advertising displays (including neon-lighting)
413;32909;Other manufacturing industries n.e.c.
414;35101;Generation of electricity by fossil fuels
415;35102;Generation of electricity by other sources (e.g. solar power, biofuels etc)
416;35103;Transmission, distribution and sale of electricity
417;35104;Other related services (e.g. electricity brokers, meter reading)
418;35201;Manufacture of gas; distribution of gaseous fuels through mains
419;35202;Processing of natural gas
420;35203;Other related services (e.g. arranging for sale of natural gas)
421;35300;Steam and air-conditioning supply
422;36000;Collection, purification and distribution of water (including desalination of water)
423;37000;Operation of sewer systems (including sewer treatment facilities)
424;38100;Collection of waste
425;38200;Treatment and disposal of waste (including remediation activities)
426;38301;Recycling of metal waste and scrap
427;38309;Recycling of non-metal waste n.e.c. (e.g. marine clay and oil sludge)
428;41001;General contractors (building construction including major upgrading works)
429;41002;Structural repair contractors
430;41009;Building construction n.e.c.
431;42101;General contractors (non-building construction)
432;42102;Road construction
433;42103;Bridge, tunnel, viaduct and elevated highway construction
434;42201;Water and gas pipe-line and sewer construction
435;42202;Communications and power line construction
436;42901;Land reclamation works
437;42902;Dam and drainage construction
438;42903;Marine construction (e.g. harbours, piers, docks, wharves)
439;42909;Construction of other civil engineering projects n.e.c. (e.g. playground systems)
440;43110;Wrecking and demolition works
441;43121;Soil investigation, treatment and stabilisation (including grouting and guniting)
442;43122;Excavation and earthmoving works
443;43129;Site preparation n.e.c.
444;43210;Electrical works
445;43220;Plumbing, heating (non-electric) and air-conditioning
446;43291;Installation and erection of building equipment (e.g. lifts, escalators, travellators)
447;43292;Installation of fire protection and security alarm systems
448;43293;Installation of building automated systems for remote monitoring
449;43294;Installation of awning and window shades
450;43295;Installation of thermal and sound insulation (including solar control films)
451;43296;Signcraft installation
452;43299;Other construction installation n.e.c.
453;43301;Renovation contractors
454;43302;Tile setting and plastering
455;43303;Joinery and other woodworks (e.g. laminated or parquet flooring)
456;43304;Painting and decorating
457;43305;Glass and glazing works (including mirror and shower screen installation)
458;43306;Curtain walling/cladding works
459;43307;Installation of doors, gates, grilles and windows
460;43309;Building completion and finishing n.e.c.
461;43901;Foundation works (including micropiling, conventional piling and underpinning)
462;43902;Brick laying, stone setting and cement works
463;43903;Roofing works (including timber carcassing)
464;43904;Production of pre-cast concrete components
465;43905;Scaffolding works
466;43906;Sandblasting/Shotblasting works (except ships)
467;43909;Other specialised construction and related activities n.e.c.
468;46100;Wholesale on a fee or contract basis (e.g. commission agents)
469;46211;Wholesale of cut flowers and plants
470;46212;Wholesale of aquarium fishes (including food and accessories)
471;46213;Wholesale of pet birds and animals (including food and accessories)
472;46219;Wholesale of agricultural raw materials and live animals n.e.c. (excluding tropical product)
473;46221;Wholesale of rubber (including rubber brokers)
474;46222;Wholesale of pepper and other spices
475;46223;Wholesale of coffee, cocoa and tea
476;46224;Wholesale of coconut
477;46225;Wholesale of palm oil
478;46229;Wholesale of tropical produce n.e.c.
479;46301;Wholesale of fruits and vegetables (including fresh and frozen)
480;46302;Wholesale of livestock, meat, poultry, eggs and seafood (including fresh and frozen)
481;46303;Wholesale of a general line (wide range) of groceries (e.g. cereals, sugar, edible oils, sauces and dairy products)
482;46304;Wholesale of confectionery and bakery products
483;46305;Wholesale of ice-cream
484;46306;Wholesale of health supplements
485;46307;Wholesale of liquor, soft drinks and beverages
486;46308;Wholesale of tobacco products
487;46309;Wholesale of food, beverages and tobacco n.e.c. (including dried or canned)
488;46411;Wholesale of textiles and leathers
489;46412;Wholesale of adults' clothing
490;46413;Wholesale of children and infants’ clothing (including products and accessories for infants)
491;46414;Wholesale of footwear
492;46415;Wholesale of bags, luggage and travel accessories
493;46416;Wholesale of sewing and clothing accessories (e.g. button, thread, lace, zip, belt, tie)
494;46421;Wholesale of jewellery made from precious metals and stones
495;46422;Wholesale of costume jewellery
496;46423;Wholesale of watches and clocks
497;46424;Wholesale of cosmetics and toiletries
498;46429;Wholesale of personal effects n.e.c.
499;46431;Wholesale of furniture (including mattresses, cushions)
500;46432;Wholesale of furnishings (including curtains, carpets, wallpaper)
501;46433;Wholesale of lighting and lighting accessories
502;46434;Wholesale of crockery, cutlery and kitchen utensils
503;46435;Wholesale of household electrical appliances and equipment (including household air-conditioners)
504;46436;Wholesale of audio and video equipment except electrical and electronic components (e.g. radio and television sets, sound reproducing and recording equipment)
505;46437;Wholesale of musical instruments and scores
506;46439;Wholesale of furniture, home furnishings and other household equipment n.e.c.
507;46441;Wholesale of sporting goods and equipment (including bicycles and healthcare equipment)
508;46442;Wholesale of music and video recordings (e.g. DVDs, Blu-ray discs)
509;46443;Wholesale of toys and games
510;46444;Wholesale of computer games (including electronic games and video game consoles)
511;46449;Wholesale of sporting and other recreational goods n.e.c.
512;46451;Wholesale of antiques and works of art
513;46452;Wholesale of handicrafts and gifts
514;46453;Wholesale of artificial flowers and plants
515;46459;Wholesale of handicrafts and fancy goods n.e.c.
516;46461;Wholesale of medicinal and pharmaceutical products (Western)
517;46462;Wholesale of medicine and herbs (other than Western)
518;46471;Wholesale of paper and paper products
519;46472;Wholesale of packaging materials
